game_play_id,motion_one,motion_two,motion_three,motion_four,motion_five,motion_six
2022090800 101,0,0,0,1,0,0
2022090800 1030,0,1,0,0,0,0
2022090800 1102,0,1,4,0,0,0
2022090800 1187,0,0,0,2,0,0
2022090800 1230,0,0,0,0,1,0
2022090800 1254,0,0,0,0,0,1
2022090800 1286,0,0,0,2,0,0
2022090800 1334,0,0,0,1,1,0
2022090800 1385,0,0,0,1,0,0
2022090800 1427,0,0,0,1,0,0
2022090800 1504,0,1,0,0,0,0
2022090800 1757,0,0,0,1,0,0
2022090800 1836,0,0,0,1,0,0
2022090800 191,0,0,0,1,0,0
2022090800 1991,0,0,3,0,0,0
2022090800 2043,0,0,0,1,0,0
2022090800 2072,0,0,0,1,0,0
2022090800 2093,0,0,0,0,0,1
2022090800 212,0,0,0,1,0,0
2022090800 2163,0,0,0,1,0,0
2022090800 2184,0,0,0,0,1,0
2022090800 2208,0,0,0,0,0,1
2022090800 2288,0,1,0,0,0,0
2022090800 2336,1,0,0,0,0,0
2022090800 236,0,0,0,1,0,0
2022090800 2360,0,1,0,0,0,0
2022090800 2381,0,1,0,0,0,0
2022090800 2464,0,0,0,1,0,0
2022090800 2506,0,0,0,1,0,0
2022090800 2527,0,0,0,1,0,0
2022090800 2551,0,0,0,0,0,1
2022090800 2572,0,0,0,0,1,0
2022090800 2688,0,0,1,0,0,0
2022090800 2712,0,2,0,0,0,0
2022090800 2733,0,1,0,0,0,0
2022090800 2755,0,0,1,0,0,0
2022090800 2934,0,2,2,0,0,0
2022090800 2979,0,0,1,0,0,0
2022090800 299,0,3,0,0,0,0
2022090800 3092,0,0,0,1,0,0
2022090800 3145,0,0,0,1,0,0
2022090800 3262,0,0,1,0,0,0
2022090800 3283,0,2,0,0,0,0
2022090800 3304,0,1,0,0,0,0
2022090800 343,0,0,1,0,0,0
2022090800 3636,0,0,0,1,0,0
2022090800 364,0,0,1,0,0,0
2022090800 3674,0,0,0,1,0,0
2022090800 393,0,0,2,0,0,0
2022090800 438,0,0,0,1,0,0
2022090800 529,0,0,0,1,0,0
2022090800 550,0,0,0,0,1,0
2022090800 56,0,0,0,0,1,0
2022090800 569,0,0,0,1,0,0
2022090800 617,0,0,0,1,0,0
2022090800 721,0,0,0,0,2,1
2022090800 80,1,0,0,0,0,0
2022090800 818,1,0,0,0,0,0
2022090800 896,0,1,0,0,0,0
2022090800 933,0,0,0,2,0,0
2022091100 1017,0,0,0,1,0,0
2022091100 1046,0,0,0,0,0,1
2022091100 1067,0,0,0,2,0,0
2022091100 1088,0,0,0,1,0,0
2022091100 1170,0,2,1,0,0,0
2022091100 121,0,1,0,0,0,0
2022091100 1231,2,0,0,0,0,0
2022091100 1260,1,0,0,0,1,0
2022091100 1281,0,0,0,0,1,0
2022091100 1335,0,0,0,0,0,1
2022091100 1413,0,1,0,0,0,0
2022091100 145,2,0,0,0,0,0
2022091100 1552,0,0,0,3,0,0
2022091100 1587,0,0,0,1,0,0
2022091100 1651,0,0,0,2,0,0
2022091100 166,1,0,0,0,0,0
2022091100 1672,1,0,0,0,0,0
2022091100 190,0,1,0,0,0,0
2022091100 2048,NA,NA,NA,NA,NA,NA
2022091100 2069,NA,NA,NA,NA,NA,NA
2022091100 2114,NA,NA,NA,NA,NA,NA
2022091100 212,0,1,2,0,0,0
2022091100 2159,0,0,0,0,1,0
2022091100 2183,NA,NA,NA,NA,NA,NA
2022091100 2204,0,0,0,1,0,0
2022091100 2303,0,1,0,0,0,0
2022091100 233,0,2,0,0,0,0
2022091100 2332,0,1,1,0,0,0
2022091100 2353,0,1,0,0,0,0
2022091100 2374,0,0,1,0,0,0
2022091100 2491,0,0,0,1,0,0
2022091100 2512,NA,NA,NA,NA,NA,NA
2022091100 2616,0,1,0,0,0,0
2022091100 2661,0,1,1,0,0,0
2022091100 2720,0,0,0,1,0,0
